"","topic","numSim","w0","w1","w2","w3","w4","w5","w6","w7","w8","w9"
"4748","apples_apples_apples_apples",10,"apples_apples_apples_apples","apples_apples_apples","commodities_apples_apples","apples_apples","tomatoes_apples_apples_apples","apples_apples_tomatoes_apples","wine_grapes_apples_apples","apples_oranges_oranges_apples","apples_tomatoes_apples_apples","apples_apples_apples_wine"
"4749","lowest_observed_adverse",4,"lowest_observed_adverse","no_observed_adverse","nuclear_magnetic_resonance","nanogram_no_observed_adverse","","","","","",""
"4750","banana_plantain_apple_banana",10,"banana_plantain_apple_banana","large_avocados_bananas_dwarf","mangoes_papaya_pomegranate_cherimoya","custard_apple_sugar_apple","c_inedible_peel","mammey_sapote_others","sweetsop_llama","other_medium_sized","guanabana","annonaceae_guava_pineapples_bread"
"4751","enzyme_activity",6,"enzyme_activity","enzyme_activities","10_subsamples_each","mash_feed","blood_gsh_px","enzyme","","","",""
"4752","swedes_turnips_others_ii",10,"swedes_turnips_others_ii","bulb_vegetables_garlic_onions","spanish_salsify_spanish_oysterplant","silverskin_onions_shallots_spring","similar_varieties_salsify_scorzonera","onions_welsh_onion","similar_varieties_others_iii","cyperus_esculentus_salsify_scorzonera","similar_varieties_tiger_nut","radish_japanese_radish_small"
"4753","omethoate_expressed_as",10,"omethoate_expressed_as","as_cs2","dimethoate_diphenylamine_dithiocarbamates_expressed","dimethoate_dimethoate","dimethoate_diphenylamine","only_diphenylamine_dithiocarbamates","dimethoate_sum","endosulfan_sum","dimethoate_dimethoate_sum","beta_isomers"
"4754","cabbage_red_cabbage_savoy",10,"cabbage_red_cabbage_savoy","cabbage_white_cabbage","head_cabbage_pointed_head","head_brassica_brussels_sprouts","cauliflower_others_b","c_leafy_brassica","chinese_cabbage_indian","or_chinese_mustard","chinese_broccoli_broccoli_raab","pak_choi_chinese_flat"
"4755","kfoc_l",10,"kfoc_l","lc_lc50_lc_ms","ld50_ldh_loael_lod","matc_mch_mchc_mcv","m_l_maf","ld50_ldh_llna_loael","ml_mm_mn","kdoc_kg","mch_mchc_mcv_mg","mtd_mwhc_nesti"
"4756","romaine_cos_lettuce_scarole",10,"romaine_cos_lettuce_scarole","broad_leaf_endive_wild","cutting_lettuce_iceberg_lettuce","chicory_red_leaved_chicory","radicchio_curld_leave_endive","head_lettuce_lollo_rosso","lettuce_italian_cornsalad_lettuce","sugar_loaf_cress_land","cress_rocket_rucola_wild","sugar_loaf_cress"
"4757","ecotoxicological_activity",10,"ecotoxicological_activity","non_target_soil_macroorganisms","metabolite_fluroxypyr_methoxypyridine","soil_dwelling_organisms","sediment_dwellers","soil_macroorganisms","formulations_amcotone","aquatic_macrophytes","consequent_aquatic","volatilization_deposition"
"4758","iupac_name",10,"iupac_name","hydroxybutyric_acid_α","aminoisovaleric_acid","amino_β_hydroxybutyric","oxoethyl","carboxylate","1rs","2hydroxy","chlorophenyl","chlorobenzylidene"
"4759","most_sensitive_aquatic_organisms",5,"most_sensitive_aquatic_organisms","focus_step1","earthworms_annex_iiia","toxicity_exposure_ratios","focus_step1_crop","","","","",""
"4760","esbl",10,"esbl","ampc","esbl_ampc_producers","esbls","mrsa","plasmid_mediated","carbapenems","pampc","βlactamase","meropenem"
"4761","panel_members_gabriele_aquilina",10,"panel_members_gabriele_aquilina","lubomir_leng_secundino_lópez","renshaw_guido_rychen_maria","puente_giovanna_martelli_baltasar","lourdes_bastos_lucio_guido","mayo_fernando_ramos_derek","christer_hogstrand_lubomir_leng","antoni_gralak_christer_hogstrand","costa_gerhard_flachowsky_mikolaj","saarela_kristen_sejrsen_patrick"
"4762","basil_balm_leaves_mint",10,"basil_balm_leaves_mint","rosemary_thyme_marjoram_oregano","peppermint_bay_leaves_laurel","winter_savory_summer_savory","other_apiacea_parsley_sage","tarragon_hyssop_others_vi","basil_hairy_basil_edible","legume_vegetables_fresh","peppermint_holy_basil_sweet","flowers_marigold_flower"
"4763","explore",10,"explore","opportunity","understand","locate_hiding_place","predict","try","integrate","better_understand","9_inappropriate_social","standardise"
"4764","p2_5",10,"p2_5","p50_p97_5","5_p50_p97","mb4_mb2_p2","tm20_tm21_1000","dc28_p2","dc24_p2","tm20_tm22_p2","tm24_0015_d51_p2","tm24_0002_d52_p2"
"4765","particle_size_distribution",10,"particle_size_distribution","dusting_potential","by_laser_diffraction","three_batches","four_batches","five_batches","sieve_analysis","stauber_heubach_method","laser_diffraction","particle_fractions"
"4766","impairment",10,"impairment","disturbances","dysfunction","impaired","deficits","growth_retardation","anaemia","alterations","cardiac","defects"
"4767","oj_l_309_24",7,"oj_l_309_24","l_309_24","oj_309_24","oj_l_314","by_l309_24","oj_l_295","oj_l_342","","",""
"4768","dairy_ruminants",10,"dairy_ruminants","grass_fresh","1011010","fluazinam_ampa_fluazinam_amgt","n_oxide_propamocarb","residue_definition_sum","their_salts_expressed","dcsa_dcga","conjugated_expressed_as","n_desmethyl_propamocarb"
"4769","good_manufacturing_practice",10,"good_manufacturing_practice","regulation42","regulation44","regulation32","feed_hygiene_regulation40","regulation17","feed_hygiene_regulation20","regulation23","feed_hygiene_regulation26","regulation27"
"4770","systematic_literature_review",4,"systematic_literature_review","adjusted_estimate","prior_expert","expert_opinion","","","","","",""
"4771","anaemia",10,"anaemia","growth_retardation","impaired","salivation","renal","ataxia","inflammation","depression","haemorrhage","impairment"
"4772","live_weight",10,"live_weight","live_weight_gain","liveweight","milk_yield","before_farrowing","finishing","piglet","per_sow","farrowing","calf"
"4773","yoghurt",10,"yoghurt","ice_cream","flavoured","fruit_purée","chocolate_bar","fermented_milk_products","chocolate_chocolate","yoghurts","yoghurt_plain","dessert"
"4774","liquorice_ginger_turmeric_curcuma",10,"liquorice_ginger_turmeric_curcuma","roots_or_rhizome","horseradish_others_v_buds","cinnamon_cassia_others_iv","cloves_capers_others_vi","tamarind_others_iii_bark","flower_stigma_saffron_others","vii_aril_mace_others","pink_pepper_vanilla_pods","vii_aril_mace"
"4775","russian_federation",10,"russian_federation","ukraine","belarus","georgia","israel","egypt","algeria","morocco","tunisia","balkans"
"4776","relative_humidity",10,"relative_humidity","humidity","relative_humidities","temperatures","optimum_temperature","ambient_temperature","temperature","ºc","needle_wetness","conidial_germination"
"4777","egg_white",4,"egg_white","egg_yolk","whole_egg","ovalbumin","","","","","",""
"4778","active_substance_iso_common",4,"active_substance_iso_common","chemical_properties_details","identity_physical","end_points_identity_physical","","","","","",""
"4779","leaving",10,"leaving","before_entering","positioned","before_reaching","underneath","onto","away_from","leave","again","removed"
"4780","top_dose",10,"top_dose","highest_dose","lowest_dose","both_sexes","mid_dose","f1_generation","slightly_reduced","thyroid_follicular_cell_hyperplasia","bone_marrow_hyperplasia","relative_liver_weights"
"4781","lying",10,"lying","lying_area","dunging","dunging_area","stretched_out","lying_down","solid_flooring","cubicle_design","floor","slats"
"4782","price",10,"price","jones","hobson","scott","webster","paleari","mitchell","taylor","rowe","andersen"
"4783","insertion",10,"insertion","plasmid_vector","ti_plasmid","coding_region","open_reading_frames","agrobacterium","t_dna","cassette","insert","orfs"
"4784","toxoplasma_gondii",10,"toxoplasma_gondii","neospora_caninum","toxoplasma","mycobacterium","mycobacteria","mycobacterium_tuberculosis","cryptosporidiosis","hev","flavivirus","giardia_duodenalis"
"4785","mangoes",10,"mangoes","pineapples","limes","pears_grapefruit","yams","avocados_sweet_corn","aubergines_egg","quinces","grapefruit_peaches","beetroot_onions"
"4786","p_127_175",4,"p_127_175","p_127_174","oj_l_155","oj_l_153","","","","","",""
"4787","martinez",10,"martinez","sanchez","garcia","rodriguez","ruiz","perez","gomez","fernandez","herrera","fernández"
"4788","medlar",10,"medlar","quinces","commodities_apples_pears","watermelons_melons","plums_lemons","courgettes_cucumbers","aubergines_egg_plants","peppers_tomatoes","cherries_medlar","limes"
"4789","mangoes_papaya_pomegranate_cherimoya",10,"mangoes_papaya_pomegranate_cherimoya","custard_apple_sugar_apple","banana_plantain_apple_banana","large_avocados_bananas_dwarf","sweetsop_llama","other_medium_sized","c_inedible_peel","mammey_sapote_others","annonaceae_guava_pineapples_bread","annonaceae_guava_red_pitaya"
"4790","province",10,"province","south_east","district","eastern","iran","gaza_strip","bordering","western","south","provinces"
"4791","directive_2000_13",10,"directive_2000_13","6_paragraph_11","permanent_exemption_from","amending_annex_iiia","1493_1999","amending_directive_2000","wine_pursuant","no_1925_2006","labelling_request_nº","temporary_exemption_from"
"4792","normal_blood_cholesterol_concentrations",10,"normal_blood_cholesterol_concentrations","normal_prostate_size","id_549_550","normal_vision","normal_urination_id","567_713_1234_1235","normal_spermatozoa_motility","1466_1634_1984_2909","normal_erectile_function_id","concentrations_id_3089"
"4793","onion",10,"onion","tomato_courgette_zucchini","chilli_pepper","artichoke","melon","beans_peas","lettuces","aubergine_bell_pepper","group_melon_watermelon","pumpkin"
"4794","migratory_birds",10,"migratory_birds","spread","highly_pathogenic_avian_influenza","wild_birds","domestic_poultry","spreading","asian_lineage_h5n1_hpaiv","competent_vectors","role","free_areas"
"4795","what_extent",10,"what_extent","prove","impossible","very_difficult","understand","exclude","investigate_whether","distinguish_between","do_so","practical_constraints"
"4796","tralkoxydim",4,"tralkoxydim","chloridazon","oryzalin","fluazifop_p","","","","","",""
"4797","flufenoxuron",10,"flufenoxuron","oxadixyl","fenpropathrin","propargite","fenbutatin_oxide","phoxim","penconazole","chlorpyrifos_methyl","hexythiazox","fludioxonil"
"4798","real_time_pcr",10,"real_time_pcr","polymerase_chain_reaction_pcr","polymerase_chain_reaction","taqman","real_time_rt_pcr","hexaplex_real_time","duplex_pcr","rtpcr","triplex","multiplex_real_time"
"4799","chemosphere",10,"chemosphere","acta_paediatrica","food_chem_toxicol","biochemical_pharmacology","hortscience","planta_medica","phytochemistry","australasian_plant_pathology","pediatric_research","talanta"
"4800","level_mass_spectrometry",10,"level_mass_spectrometry","safety_data_sheet","milli_newton_maximum","national_estimated_short","maximum_tolerated_dose","water_holding_capacity","volume_milligram_millilitre_millimetre","milligram_millilitre_millimetre_milli","measured_concentrations_milli","newton_maximum_residue"
"4801","ornamental_fish",10,"ornamental_fish","ornamental_birds","crustaceans_ornamental","fattening_laying_hens_ducks","minor_poultry","salmonids","non_foodproducing_animals","weaned_piglets_pigs","fish_crustaceans_ornamental","fattening_minor_avian"
"4802","resistance_genes",10,"resistance_genes","transferable","co_selection","resistance_determinants","mobile_genetic_elements","beta_lactamase","ampc_resistance_genes","plasmid_mediated","carbapenemase_producing","esbls"
"4803","sanco_3029_99_rev",5,"sanco_3029_99_rev","7031_vi_95_rev","3568_11920_4630_82","ylmethylglucosinolate","methyl_2propionylthiazole","","","","",""
"4804","ad_libitum",10,"ad_libitum","given_ad_libitum","ad_libitum_access","fed_ad_libitum","pelleted_diet","post_weaning","twice_daily","automatic_feeders","daily_gain","basal_diet"
"4805","dithiocarbamates_expressed_as_cs2",5,"dithiocarbamates_expressed_as_cs2","including_maneb_mancozeb_metiram","propineb_thiram","ziram","pesticide_misuses","","","","",""
"4806","containment",10,"containment","voluntary_certification","pestfree","preventing_entry","sanitation_practices","resistant_cultivars_certification_system","prevent_introduction","certification","prevent_spread","certification_system"
"4807","clsi",10,"clsi","eucast","ca_sfm","cbp","cbp_from","cip_ery","clsi_lithuania_cbp","bsac","casfm","clinical_breakpoints"
"4808","slurry",10,"slurry","external_alley","troughs","kitchen_waste","mixing","slurries","waste","scraped","dirt","dung"
"4809","secondary_metabolites",8,"secondary_metabolites","peptaibols","may_include_tricothecenes","viridofungins","include_trichothecenes_viridofungins","trichothecenes_suzukacillin_alamethicine","trichoderma_atroviride_t11","including_trichothecenes_viridofungins","",""
"4810","whey",10,"whey","cow_milk","dried_whey","yoghurt","skimmed_milk","butter_cheese","uht_milk","milk_powder","coagulated","protein_hydrolysates"
"4811","silty_clay_loam",10,"silty_clay_loam","clay_loam","loamy_sand","silty_clay","silt_loam","sandy_loam","crespelano","loam_usa","silty_loam","sandy_clay_loam"
"4812","energy_yielding_metabolism",10,"energy_yielding_metabolism","mental_performance_id","id_259_cognitive","nervous_system_id","immune_system_id","cell_division_id","id_113_114","normal_thyroid_function","immune_system_id_1725","117_macronutrient_metabolism"
"4813","peste_des_petits_ruminants",10,"peste_des_petits_ruminants","lumpy_skin_disease","rinderpest","virus_pprv","bluetongue_virus","classical_swine_fever_virus","sheep_pox_virus","neethling","peste_des_petits","schmallenberg_virus"
"4814","descriptions",8,"descriptions","formatting","expert_knowledge","visualisations","nested_xml","sgm_types","bibliographic","key_uncertainties","",""
"4815","roots_or_rhizome",10,"roots_or_rhizome","liquorice_ginger_turmeric_curcuma","cinnamon_cassia_others_iv","horseradish_others_v_buds","tamarind_others_iii_bark","cloves_capers_others_vi","flower_stigma_saffron_others","pink_pepper_vanilla_pods","vii_aril_mace_others","white_long_pepper"
"4816","hamsters",10,"hamsters","mice","c3h_mice","guinea_pigs","rabbits_guinea_pigs","f344_n","male_syrian_golden","fisher_344_rats","hamster","gpt_delta"
"4817","heart_rate",10,"heart_rate","pulse_rate","increased_heart_rate","plasma_catecholamine","appetite","extremities","anxiety","palpitation","restlessness","nervousness"
"4818","incubated",4,"incubated","48_hours","90oc","phosphate_buffer","","","","","",""
"4819","sugar_free_chewing",8,"sugar_free_chewing","triphosphates","gum_with_pyro","with_calcium_phosphoryl","xylitol_sweetened","pyrophosphates","calculus_formation","calcium_phosphoryl_oligosaccharides","",""
